,scientific_name,count
260,Echium italicum,2
230,Melia azedarach,2
189,Solanum nigrum,2
201,Trifolium clypeatum,2
200,Sinapis arvensis,2
199,Cymbalaria muralis,2
198,Valeriana italica,2
197,Bellevalia trifoliata,2
196,Anchusa undulata,2
195,Scilla forbesii,2
194,Anacamptis pyramidalis,2
193,Euryops pectinatus,2
192,Vicia monantha,2
191,Amaranthus graecizans,2
188,Zinnia elegans,2
203,Geranium rotundifolium,2
187,Passiflora caerulea,2
186,Drimia aphylla,2
185,Cyclamen hederifolium,2
184,Notobasis syriaca,2
183,Dimorphotheca ecklonis,2
182,Onopordum boissierianum,2
181,Asparagus acutifolius,2
180,Raphanus raphanistrum,2
179,Lagurus ovatus,2
178,Hibiscus rosa-sinensis,2
229,Salvia rosmarinus,2
202,Cerinthe major,2
190,Hypericum triquetrifolium,2
204,Bromus diandrus,2
217,Anacamptis coriophora fragrans,2
228,Liquidambar orientalis,2
205,Melissa officinalis,2
227,Asphodelus albus,2
226,Erodium cicutarium,2
225,Fumana arabica,2
224,Hypnum cupressiforme,2
223,Prunus amygdalus,2
221,Gagea lutea,2
220,Neotinea maculata,2
219,Selaginella denticulata,2
218,Quercus aucheri,2
222,Artemisia absinthium,2
216,Ruta chalepensis,2
211,Orchis italica,2
206,Jasminum mesnyi,2
208,Ficaria verna,2
209,Oxalis pes-caprae pleniflora,2
210,Lotus edulis,2
207,Helichrysum stoechas,2
212,Bellis perennis,2
213,Erodium botrys,2
214,Veronica persica,2
215,Cirsium creticum,2
438,Arum italicum,1
443,Momordica charantia,1
442,Dittrichia graveolens,1
441,Kindbergia oregana,1
440,Salsola tragus,1
439,Eryngium campestre,1
436,Limonium ramosissimum,1
437,Lythrum salicaria,1
445,Gomphrena globosa,1
435,Ailanthus altissima,1
433,Eryngium thorifolium,1
434,Colchicum lingulatum rigescens,1
444,Sisyrinchium californicum,1
457,Delphinium glaucum,1
446,Oxalis articulata,1
447,Equisetum telmateia,1
448,Cortaderia selloana,1
449,Spiranthes spiralis,1
450,Cydonia oblonga,1
451,Ornithogalum nutans,1
452,Rhus coriaria,1
453,Pittosporum tobira,1
454,Crataegus mexicana,1
455,Oenothera simulans,1
456,Polypodium vulgare,1
458,Acanthus mollis,1
431,Oenothera primiveris,1
432,Pulicaria dysenterica,1
406,Mentha aquatica,1
430,Convolvulus althaeoides tenuissimus,1
429,Mandragora officinarum,1
404,Asclepias curassavica,1
405,Ceiba speciosa,1
460,Velezia rigida,1
407,Trifolium resupinatum,1
408,Setaria pumila,1
409,Araucaria columnaris,1
410,Foeniculum vulgare,1
411,Bellis sylvestris,1
412,Trifolium lappaceum,1
413,Melilotus indicus,1
414,Carlina corymbosa,1
415,Cuscuta campestris,1
416,Thinopyrum intermedium intermedium,1
417,Chamaecytisus prolifer,1
418,Ipomoea purpurea,1
419,Trifolium campestre,1
420,Cuscuta arvensis,1
421,Russelia equisetiformis,1
422,Eruca vesicaria,1
423,Datura innoxia,1
424,Umbilicus horizontalis,1
425,Onopordum caricum,1
426,Homalothecium sericeum,1
427,Petroselinum crispum,1
428,Anemone hortensis,1
459,Galium mollugo,1
486,Iresine diffusa herbstii,1
461,Veronica lycica,1
505,Scrophularia peregrina,1
493,Allium amethystinum,1
494,Teucrium capitatum,1
495,Knautia degenii,1
496,Phillyrea latifolia,1
497,Anthemis chia,1
498,Parthenocissus quinquefolia,1
499,Plantago lanceolata,1
500,Cytisopsis pseudocytisus,1
501,Acacia mearnsii,1
502,Ophrys speculum,1
503,Ophrys lutea,1
